Name,Price,Currency,SKU,Scrape date,Category,Raw text,Image Urls,Link
Centenary of British Occupation,35.00,USD,100716,2019-06-28,"Hong Kong, Stamps","
1941 Centenary of British Occupation. SG 163/8. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/02/100716.jpg,https://kentonphilatelics.com/product/centenary-of-british-occupation/
Hong Kong 75th Anniversary of U.P.U.,52.00,USD,100495,2019-06-28,"75th Anniversary of U.P.U., Hong Kong, Stamps","
1949 75th Anniversary of U.P.U. SG 173/6. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100495.jpg,https://kentonphilatelics.com/product/hong-kong-75th-anniversary-of-u-p-u/
Hong Kong 75th Anniversary of U.P.U.,12.00,USD,100496,2019-06-28,"75th Anniversary of U.P.U., Hong Kong, Stamps","
1949 75th Anniversary of U.P.U. SG 173/6. Used
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100496.jpg,https://kentonphilatelics.com/product/hong-kong-75th-anniversary-of-u-p-u-2/
Hong Kong Coronation,16.00,USD,100455,2019-06-28,"1937 Coronation, Hong Kong, Stamps","
1937 Coronation. SG 137/9. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100455.jpg,https://kentonphilatelics.com/product/hong-kong-coronation/
Hong Kong Freedom from Hunger,22.00,USD,100542,2019-06-28,"Freedom from Hunger, Hong Kong, Stamps","
1963 Freedom from Hunger. SG 211. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/Kenton-stamps-freeedom-from-hunger-100542.jpg,https://kentonphilatelics.com/product/hong-kong-freedom-from-hunger/
Hong Kong Silver Wedding,160.00,USD,100413,2019-06-28,"Hong Kong, Royal Silver Wedding, Stamps","
1948 Royal Silver Wedding. SG 171/2. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100413.jpg,https://kentonphilatelics.com/product/hong-kong-silver-wedding/
India 75th Anniversary of U.P.U.,21.00,USD,100497,2019-06-28,"75th Anniversary of U.P.U., India, Stamps","
1949 75th Anniversary of U.P.U. SG 325/8. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100497.jpg,https://kentonphilatelics.com/product/india-75th-anniversary-of-u-p-u/
Pictorial Definitives,28.00,USD,100580,2019-06-28,"Singapore, Stamps","
1962-66 Pictorial Definitives. SG 63/77. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100580.jpg,https://kentonphilatelics.com/product/pictorial-definitives/
Queen Elizabeth II Definitives,65.00,USD,100579,2019-06-28,"Singapore, Stamps","
1955-59 Queen Elizabeth II Definitives. SG 38/52. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100579.jpg,https://kentonphilatelics.com/product/queen-elizabeth-ii-definitives-12/
Singapore 75th Anniversary of U.P.U.,10.50,USD,100513,2019-06-28,"75th Anniversary of U.P.U., Singapore, Stamps","
1949 75th Anniversary of U.P.U. SG 33/6. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100513.jpg,https://kentonphilatelics.com/product/singapore-75th-anniversary-of-u-p-u/
Singapore 75th Anniversary of U.P.U.,6.50,USD,100514,2019-06-28,"75th Anniversary of U.P.U., Singapore, Stamps","
1949 75th Anniversary of U.P.U. SG 33/6. Used
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100514.jpg,https://kentonphilatelics.com/product/singapore-75th-anniversary-of-u-p-u-2/
48c Queen Victoria. Watermark Inverted,25.00,USD,100742,2019-06-28,"Ceylon/Sri Lanka, Stamps","
1872 48c rose Queen Victoria. Watermark Inverted. SG 130w. Used
",https://kentonphilatelics.com/wp-content/uploads/2019/02/100742.jpg,https://kentonphilatelics.com/product/48c-queen-victoria-watermark-inverted/
5c on 15c Queen Victoria. Listed Variety,35.00,USD,100741,2019-06-28,"Ceylon/Sri Lanka, Other Countries, Stamps","
1890 5c on 15c Queen Victoria. Variety space between T and A of POSTAGE. SG 233(i). Used
","https://kentonphilatelics.com/wp-content/uploads/2019/02/100741.jpg,https://kentonphilatelics.com/wp-content/uploads/2019/02/100741a.jpg",https://kentonphilatelics.com/product/5c-on-15c-queen-victoria-listed-variety/
Ceylon 75th Anniversary of U.P.U.,2.50,USD,100518,2019-06-28,"75th Anniversary of U.P.U., Ceylon/Sri Lanka, Stamps","
1949 75th Anniversary of U.P.U. SG 410/2. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100518.jpg,https://kentonphilatelics.com/product/ceylon-75th-anniversary-of-u-p-u/
Ceylon Coronation,5.00,USD,100477,2019-06-28,"1937 Coronation, Ceylon/Sri Lanka, Stamps","
1937 Coronation. SG 383/5. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100477.jpg,https://kentonphilatelics.com/product/ceylon-coronation/
